location_name,address,practice_hours,whatsapp,phone,booking_url_override
Klinik Simpang / Klinik Hamdi,"Jl. Gawe Sabumi No. 33 RT 07 RW 02, Desa Bersujud, Kec. Simpang Empat, Kab. Tanah Bumbu","Senin–Sabtu, 17.00–21.00",08115553556,,
Praktek Dokter THT Angsana,"Jl. Sebamban 2 Blok F RT 011 RW 03, Angsana, Kab. Tanah Bumbu","Senin, Rabu, Sabtu, 13.00–15.00",,,
Apotik Kimia Farma Batulicin,"Jl. Raya Batulicin RT 05 RW 02, Kampung Baru, Simpang Empat, Kab. Tanah Bumbu","Selasa, Kamis, Jumat, 13.00–16.00",,,
